block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,30.985001,55773,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,30.633888,55141,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,30.610556,55099,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,30.737223,55327,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,31.143888,56059,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,31.442778,56597,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,31.044445,55880,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,30.959444,55727,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,30.818333,55473,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,30.932222,55678,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,30.822779,55481,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,30.838333,55509,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,16.848333,30327,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,16.632223,29938,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,16.551666,29793,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,16.654444,29978,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,16.625000,29925,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,16.592777,29867,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,16.634445,29942,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,16.699444,30059,N/A,N/A,N/A,N/A,N/A,N/A,
