block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,31.217501,24974,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,31.705000,25364,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,31.400000,25120,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,31.038750,24831,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,24.718750,19775,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,25.261250,20209,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,25.147499,20118,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,25.450001,20360,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,24.933750,19947,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,24.252501,19402,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,24.665001,19732,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,24.251249,19401,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,24.832500,19866,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,24.368750,19495,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,24.565001,19652,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,24.325001,19460,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,25.125000,20100,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,24.877501,19902,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,24.856251,19885,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,24.627501,19702,N/A,N/A,N/A,N/A,N/A,N/A,
