block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,49.575554,89236,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,49.597221,89275,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,49.740555,89533,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,49.672779,89411,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,49.264999,88677,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,49.167221,88501,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,49.281666,88707,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,49.279446,88703,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,49.208889,88576,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,49.276669,88698,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,49.246666,88644,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,48.952221,88114,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,26.592222,47866,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,26.912222,48442,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,26.503334,47706,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,26.475000,47655,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,26.553888,47797,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,26.879999,48384,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,26.517221,47731,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,26.487223,47677,N/A,N/A,N/A,N/A,N/A,N/A,
