block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,20.782778,37409,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,20.911112,37640,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,20.561666,37011,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,20.652222,37174,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,20.668888,37204,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,20.865555,37558,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,21.101110,37982,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,20.954445,37718,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,20.609444,37097,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,20.831112,37496,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,21.072779,37931,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,20.674444,37214,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,13.033334,23460,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,13.370000,24066,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,12.966666,23340,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,13.456111,24221,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,13.546667,24384,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,13.412778,24143,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,13.699445,24659,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,13.565000,24417,N/A,N/A,N/A,N/A,N/A,N/A,
